Agency,Expenditure
Placerville,26858657
Pleasant Hill,36852139
Pleasanton,196988236
Plymouth,2447767
Point Arena,1283694
Pomona,217961595
Port Hueneme,34545893
Porterville,79455305
Portola,3242824
Portola Valley,5556632
Poway,97291813
Rancho Cordova,85486114
Rancho Cucamonga,179711668
Rancho Mirage,59490150
Rancho Palos Verdes,37851072
Rancho Santa Margarita,20145135
Red Bluff,18410646
Redding,407929861
Redlands,150995400
Redondo Beach,158948225
Redwood City,283904306
Reedley,38665518
Rialto,173062157
Richmond,322474291
Ridgecrest,39212106
Rio Dell,4144651
Rio Vista,18187574
Ripon,17879847
Riverbank,16552476
Riverside,934553128
Rocklin,75524966
Rohnert Park,80008318
Rolling Hills,2994055
Rolling Hills Estates,11258936
Rosemead,27094547
Roseville,551711988
Ross,8576900
Sacramento,1156179000
Salinas,177270196
San Anselmo,23764081
San Bernardino,264253039
San Bruno,103004816
Ventura,220823946
San Carlos,58560443
San Clemente,117499417
San Diego,3493948958
San Dimas,32201383
San Fernando,37273959
San Francisco,11318564712
San Gabriel,54890854
San Jacinto,51753244
San Joaquin,2880409
San Jose,2417428986
San Juan Bautista,5886234
San Juan Capistrano,74693731
San Leandro,157682622
San Luis Obispo,128681951
San Marcos,108019808
San Marino,26034989
San Mateo,239654288
San Pablo,60501344
San Rafael,162029464
San Ramon,101030768
Sand City,6817084
Sanger,41467998
Santa Ana,535376778
Santa Barbara,380751252
Santa Clara,948702103
Santa Clarita,220624155
Santa Cruz,236614466
Santa Fe Springs,76169986
Santa Maria,182852319
Santa Monica,757031882
Santa Paula,20543016
Santa Rosa,415734586
Santee,59548424
Saratoga,32362769
Sausalito,23958288
Scotts Valley,18596409
Seal Beach,50139357
Seaside,43268735
Sebastopol,16693830
Selma,25656895
Shafter,61983866
Shasta Lake,39256139
Sierra Madre,26507593
Signal Hill,50214909
Simi Valley,163455787
Solana Beach,35591956
Soledad,23516696
Solvang,17804487
Sonoma,23043054
Sonora,7611894
South El Monte,17510548
South Gate,102788700
South Lake Tahoe,71963495
South Pasadena,39880259
South San Francisco,193233377
St. Helena,29221658
Stanton,33481971
Stockton,580952810
Suisun City,28627356
Sunnyvale,489635416
Susanville,17308807
Sutter Creek,4403254
Taft,26158262
Tehachapi,18100089
Tehama,211342
Temecula,134474244
Temple City,17194036
Thousand Oaks,172039161
Tiburon,14810380
Torrance,355362908
Tracy,207756536
Trinidad,2321295
Truckee,44609944
Tulare,125281679
Tulelake,1578639
Turlock,111665849
Tustin,165130399
Twentynine Palms,13591133
Ukiah,70883904
Union City,96879417
Upland,101408501
Vacaville,215313019
Vallejo,213455440
Vernon,255493086
Victorville,219105638
Villa Park,6024779
Visalia,210226719
Vista,131614628
Walnut,19534312
Walnut Creek,109571095
Wasco,18002951
Waterford,8183961
Watsonville,120574157
Weed,8261958
West Covina,111837972
West Hollywood,149366634
West Sacramento,146623736
Westlake Village,21604976
Westminster,97835105
Westmorland,2893383
Wheatland,5110971
Whittier,114025574
Wildomar,21837230
Williams,8044125
Willits,12931570
Willows,9285477
Windsor,44716635
Winters,11990794
Woodlake,12226197
Woodland,130343764
Woodside,10075029
Yorba Linda,67239570
Yountville,16574061
Yreka,14633594
Yuba City,121303786
Yucaipa,48108573
Yucca Valley,18422626
Los Angeles County,28083917455
Santa Clara County,6552829345
San Diego County,5030257683
Orange County,4972108200
Riverside County,4900770123
San Bernardino County,4733902714
Contra Costa County,3542107990
Sacramento County,3529448000
Alameda County,3339008906
Ventura County,2252460149
San Mateo County,1988258994
Fresno County,1878051000
Kern County,1844654959
San Joaquin County,1713072291
Monterey County,1247060181
Sonoma County,1156054776
Stanislaus County,1142654541
Santa Barbara County,1039577506
Tulare County,914042557
Solano County,754233944
Placer County,732183711
Marin County,690137856
San Luis Obispo County,660037479
Santa Cruz County,657637176
Merced County,580729431
El Dorado County,453471879
Butte County,449421432
Imperial County,443573873
Yolo County,429071702
Humboldt County,400220086
Napa County,390786557
Shasta County,358445813
Madera County,298185069
Kings County,289041197
Mendocino County,261959057
Sutter County,234812286
Yuba County,194828890
Nevada County,192568927
Tuolumne County,183283258
Lake County,169593043
Tehama County,143427561
Calaveras County,138199329
Siskiyou County,113480236
San Benito County,106134564
Glenn County,93915379
Mariposa County,86891541
Amador County,82387142
Inyo County,78093100
Del Norte County,77396633
Lassen County,66208706
Mono County,66162053
Plumas County,63793630
Colusa County,62770657
Trinity County,57953648
Modoc County,33609521
Alpine County,21924691
Sierra County,19527763
